lat,long,elevation
49.29677083333336,-123.13843750000034,-10.309039665570362
49.29593750000003,-123.137604166667,-10.02924974094878
49.29593750000003,-123.14427083333366,-9.277313782086475
49.199270833333365,-123.177604166667,-8.998969627728565
49.1976041666667,-123.18593750000034,-8.685858322491748
49.1976041666667,-123.185104166667,-8.676119400372608
49.2001041666667,-123.17843750000033,-8.482676102032764
49.2001041666667,-123.18427083333367,-8.464168144574268
49.29677083333336,-123.137604166667,-8.265685154309375
49.225104166666696,-122.815104166667,-8.12357003818999
49.1901041666667,-123.18843750000033,-7.950095249524219
49.3551041666667,-122.63177083333368,-7.68186147343169
49.18593750000003,-123.162604166667,-7.646581245770557
49.19593750000003,-122.90093750000034,-7.429129673352344
49.1976041666667,-123.18343750000034,-7.356027675976856
49.290104166666694,-122.86760416666701,-7.253145767560108
49.16343750000003,-122.94427083333366,-7.222251488080127
49.3226041666667,-122.61177083333367,-7.173439575543506
49.1851041666667,-123.162604166667,-7.0955615771914555
49.2001041666667,-123.185104166667,-7.011756016125782
49.31343750000003,-122.61927083333367,-6.987149311413868
49.199270833333365,-123.17843750000033,-6.911856724133594
49.1901041666667,-123.18927083333367,-6.841148449292286
49.2001041666667,-123.17927083333366,-6.825808597912891
49.19677083333337,-123.182604166667,-6.630442692151172
49.1976041666667,-123.18427083333367,-6.559659553876026
49.1101041666667,-123.07177083333367,-6.550892902722461
49.1226041666667,-123.08843750000034,-6.533428741803272
49.31343750000003,-122.61843750000034,-6.435703827252491
49.159270833333366,-122.98427083333367,-6.432818008771045
49.18593750000003,-123.16343750000033,-6.3439064754153325
49.1226041666667,-123.087604166667,-6.138182236065967
49.199270833333365,-123.17677083333366,-6.131800247540577
49.2001041666667,-123.177604166667,-6.0817862285281254
49.1901041666667,-123.187604166667,-6.059405399670704
49.199270833333365,-123.18427083333367,-6.037332130780323
49.19593750000003,-122.900104166667,-5.976834370007618
49.18677083333336,-123.17093750000033,-5.946598602643116
49.18343750000003,-122.91677083333367,-5.887082172741993
49.2001041666667,-123.18343750000034,-5.736716343274219
49.16427083333336,-122.94427083333366,-5.698679043164356
49.15677083333337,-123.04093750000034,-5.685221268048389
49.19677083333337,-123.185104166667,-5.569504333844288
49.02093750000003,-123.16343750000033,-5.557539535870655
49.20093750000003,-123.18177083333367,-5.474041534772022
49.1851041666667,-123.16343750000033,-5.44304425846587
49.20093750000003,-123.17927083333366,-5.399929596295459
49.279270833333364,-123.14427083333366,-5.381261421551807
49.29593750000003,-123.13677083333367,-5.338998867383106
49.20093750000003,-123.18427083333367,-5.296287609448536
49.19677083333337,-123.18343750000034,-5.213595939984424
49.21927083333336,-122.77093750000033,-5.138818813672168
49.19843750000003,-123.18093750000034,-5.117088390698536
49.02177083333336,-123.16343750000033,-5.09312160145293
49.1101041666667,-123.072604166667,-5.080699039807422
49.199270833333365,-123.18343750000034,-5.080651356091602
49.20343750000003,-123.18427083333367,-5.026616169324024
49.159270833333366,-122.985104166667,-4.993472648968799
49.20093750000003,-123.185104166667,-4.940328194012745
49.20177083333336,-123.18177083333367,-4.925997330060108
49.16343750000003,-122.94343750000033,-4.889474226346119
49.19093750000003,-123.18427083333367,-4.863932682385547
49.20093750000003,-123.18093750000034,-4.855637861600025
49.22343750000003,-122.785104166667,-4.829454494824512
49.1976041666667,-123.182604166667,-4.809432579388721
49.15843750000003,-122.94177083333366,-4.792947841992481
49.3551041666667,-122.63260416666701,-4.769588304867847
49.1976041666667,-123.18677083333367,-4.689624859204395
49.19093750000003,-123.190104166667,-4.657713247647388
49.11177083333337,-123.075104166667,-4.6102522147799565
49.16427083333336,-122.94510416666701,-4.581347776761158
49.1851041666667,-123.16177083333366,-4.554316355099781
